"obs_nmd_rmse","obs_nmd_cor","obs_nmd_bias","obs_nmd_pcna","obs_nmd_slp","obs_nbc_rmse","obs_nbc_cor","obs_nbc_bias","obs_nbc_pcna","obs_nbc_slp","obs_hmd_rmse","obs_hmd_cor","obs_hmd_bias","obs_hmd_pcna","obs_hmd_slp","obs_hbc_rmse","obs_hbc_cor","obs_hbc_bias","obs_hbc_pcna","obs_hbc_slp","reg","best_method"
0.0198,1,-0.0062,59.2803,0.0434,0.0198,1,-0.0062,59.2803,0.14,1.8253,0.889,-0.1435,59.2803,0.147,0.923,0.9764,-0.0732,59.2803,0.1838,"PAD","obs_hbc"
0.0185,1,-0.0085,55.6818,-0.0872,0.0185,1,-0.0085,55.6818,0.2842,0.7432,0.9891,-0.0898,55.6818,0.5822,0.7418,0.9891,-0.0898,55.6818,0.6139,"CAS","obs_nmd"
0.0199,1,-0.006,71.9697,0.65,0.0199,1,-0.006,71.9697,0.322,1.6277,0.9548,-0.3268,71.9697,0.3268,1.66,0.9526,-0.3097,71.9697,0.1506,"PAD","obs_nmd"
0.0059,1,-0.0019,78.7879,1.4192,0.0059,1,-0.0019,78.7879,1.9164,9.1668,0.9931,2.5333,78.7879,-1.0159,9.2755,0.993,2.6203,78.7879,-0.8177,"CAS","obs_nmd"
0.1356,0.9987,-0.0925,53.9773,0.1029,0.1356,0.9987,-0.0925,53.9773,0.049,0,1,0,53.9773,0.2344,0,1,0,53.9773,0.2439,"PAD","obs_nmd"
0.0024,1,-3e-04,51.1364,4.2619,0.0024,1,-3e-04,51.1364,2.974,22.638,0.9732,7.16,51.1364,2.5111,23.5631,0.9703,7.5193,51.1364,0.8148,"CAS","obs_nmd"
0.0338,1,-0.0159,67.4242,1.0642,0.0338,1,-0.0159,67.4242,1.2972,4.4525,0.9822,-0.7657,67.4242,2.894,4.8287,0.9791,-0.8837,67.4242,2.9663,"CAS","obs_nmd"
0.0276,1,-0.0131,84.8485,1.6789,0.0276,1,-0.0131,84.8485,1.6256,7.418,0.9665,-1.9314,84.8485,2.3687,8.3488,0.9554,-1.2534,84.8485,3.6122,"CAS","obs_nmd"
0.0214,1,-0.011,88.447,2.3519,0.0214,1,-0.011,88.447,2.8962,20.1106,0.958,-6.828,88.447,6.7298,20.2597,0.9492,-2.3642,88.447,6.0756,"CAS","obs_nmd"
0.0268,1,-0.0163,47.9167,2.9529,0.0268,1,-0.0163,47.9167,3.3506,9.8195,0.966,0.4904,47.9167,4.2894,2.7921,0.9971,-0.2396,47.9167,4.8924,"CAS","obs_nbc"
0.007,1,-0.0022,71.7803,9.9708,0.007,1,-0.0022,71.7803,8.5359,23.8366,0.9751,8.4202,71.7803,-0.8496,16.4038,0.9861,4.7007,71.7803,1.9004,"CAS","obs_hmd"
0.0028,1,-6e-04,46.7803,9.0067,0.0028,1,-6e-04,46.7803,1.2925,9.497,0.9928,2.1397,46.7803,4.2802,0,1,0,46.7803,4.9265,"CAS","obs_nmd"
0.0274,1,-0.0102,20.6439,0.75,0.0274,1,-0.0102,20.6439,0.8132,0,1,0,20.6439,1.9302,0,1,0,20.6439,1.7624,"CAS","obs_nbc"
